收费门架信息,,,,
序号,收费门架编号,门架名称,纬度,经度
1,G000237001000120010,乐陵北-京沪鲁冀门架,37.840596,117.105801
2,G000237001000120020,乐陵北-京沪鲁冀门架,37.822900,117.102805
3,G000237001000220030,乐陵西-乐陵北门架,37.720278,117.108361
4,G000237001000320040,济乐滨德立交-乐陵西门架,37.687673,117.101370
5,G000237001000420050,乐陵南-济乐滨德立交门架,37.536557,117.120294
6,G000237001000610010,乐陵南-商河门架,37.282058,117.084697
7,G000237001000710060,济乐滨德立交-乐陵南门架,37.538518,117.120042
8,G000237001000810070,乐陵西-济乐滨德立交门架,37.688564,117.101207
9,G000237001000910080,乐陵北-乐陵西门架,37.721003,117.108357
10,G000237001001010090,京沪鲁冀-乐陵北门架,37.826078,117.103148
11,G000237001001010100,京沪鲁冀-乐陵北门架,37.830347,117.103876
12,G000237001001110010,乐陵南-乐陵南虚收费门架,37.536114,117.114182
13,G000237001001120010,乐陵南虚-乐陵南收费门架,37.536114,117.114182
14,G000237001001210010,乐陵西-乐陵西虚收费门架,37.687464,117.094949
15,G000237001001220010,乐陵西虚-乐陵西收费门架,37.687464,117.094949
16,G000237001001310010,乐陵北-乐陵北虚收费门架,37.319804,117.101953
17,G000237001001320010,乐陵北虚-乐陵北收费门架,37.319804,117.101953
18,G000237002000120020,商河-乐陵南门架,37.281275,117.085025
19,G000237002000220010,临邑-商河门架,37.166624,117.044478
20,G000237002000310020,商河-临邑门架,37.167215,117.044491
21,G000237002000510010,商河-商河虚收费门架,37.280438,117.079013
22,G000237002000520010,商河虚-商河收费门架,37.280438,117.079013
23,G000237003000510010,临邑-临邑虚收费门架,37.165922,117.038551
24,G000237003000520010,临邑虚-临邑收费门架,37.165922,117.038551
25,G000237004000110010,港沟-港沟枢纽门架,36.627261,117.179882
26,G000237004000220010,港沟枢纽-港沟门架,36.627261,117.179882
27,G000237004000520160,蟠龙-港沟枢纽门架,36.626055,117.216705
28,G000237004000610010,港沟枢纽-蟠龙门架,36.625216,117.184179
29,G000237004000710030,彩石-曹范门架,36.611860,117.374597
30,G000237004000820140,曹范-彩石门架,36.613287,117.361919
31,G000237004000910040,曹范-埠村门架,36.601260,117.451259
32,G000237004001020130,埠村-曹范门架,36.601229,117.416200
33,G000237004001110050,埠村-雪野门架,36.466491,117.531778
34,G000237004001220120,雪野-埠村门架,36.587157,117.494168
35,G000237004001310060,雪野-莱芜北门架,36.314069,117.644691
36,G000237004001420110,莱芜北-雪野门架,36.440687,117.538994
37,G000237004001510070,莱芜北-莱芜高新门架,36.262383,117.710722
38,G000237004001620100,莱芜高新-莱芜北门架,36.294122,117.663364
39,G000237004001710080,莱芜高新-莱芜枢纽门架,36.255040,117.733438
40,G000237004001820090,莱芜枢纽-莱芜高新门架,36.254791,117.738015
41,G000237004002310020,蟠龙-彩石门架,36.613704,117.315694
42,G000237004002620150,彩石-蟠龙门架,36.617943,117.267820
43,G000237004003310010,蟠龙-蟠龙虚收费门架,36.613350,117.309460
44,G000237004003320010,蟠龙虚-蟠龙收费门架,36.613350,117.309460
45,G000237004003410010,彩石-彩石虚收费门架,36.611391,117.368355
46,G000237004003420010,彩石虚-彩石收费门架,36.611391,117.368355
47,G000237004003510010,曹范-曹范虚收费门架,36.601008,117.445395
48,G000237004003520010,曹范虚-曹范收费门架,36.601008,117.445395
49,G000237004003610010,埠村-埠村虚收费门架,36.600770,117.409870
50,G000237004003620010,埠村虚-埠村收费门架,36.600770,117.409870
51,G000237004003710010,雪野-雪野虚收费门架,36.586982,117.488062
52,G000237004003720010,雪野虚-雪野收费门架,36.586982,117.488062
53,G000237004003810010,莱芜北-莱芜北虚收费门架,36.440389,117.533429
54,G000237004003820010,莱芜北虚-莱芜北收费门架,36.440389,117.533429
55,G000237004003910010,莱芜高新-莱芜高新虚收费门架,36.254865,117.727541
56,G000237004003920010,莱芜高新虚-莱芜高新收费门架,36.254865,117.727541
57,G000237005000210020,蒙阴虚-孟良崮虚门架,35.678037,117.947502
58,G000237005000310030,孟良崮-青驼虚门架,35.523933,118.158031
59,G000237005000410040,青驼-竹园枢纽虚门架,35.392971,118.254201
60,G000237005000510050,竹园枢纽-临沂北虚门架,35.289569,118.249312
61,G000237005000710070,临沂-京沪临北沂界虚门架,35.118777,118.242116
62,G000237005000820080,京沪临北沂界-临沂虚门架,35.118386,118.241958
63,G000237005001020100,临沂北-竹园枢纽虚门架,35.289209,118.250398
64,G000237005001120110,竹园枢纽-青驼虚门架,35.392611,118.255287
65,G000237005001220120,青驼-孟良崮虚门架,35.523753,118.158573
66,G000237005001320130,孟良崮-蒙阴虚门架,35.677677,117.948588
67,G000237005001510150,蒙阴-蒙阴虚门架,35.686303,117.927237
68,G000237005001620160,蒙阴虚-蒙阴门架,35.686303,117.927237
69,G000237005001710170,孟良崮-孟良崮虚门架,35.540338,118.142210
70,G000237005001820180,孟良崮虚-孟良崮门架,35.540338,118.142210
71,G000237005001910190,青驼-青驼虚门架,35.414016,118.249746
72,G000237005002020200,青驼虚-青驼门架,35.414016,118.249746
73,G000237005002110210,临沂北-临沂北虚门架,35.273188,118.250699
74,G000237005002220220,临沂北虚-临沂北门架,35.273188,118.250699
75,G000237005002310230,临沂-临沂虚门架,35.146787,118.248139
76,G000237005002420240,临沂虚-临沂门架,35.146787,118.248139
77,G000237005002510250,蒙阴西-蒙阴西虚收费门架,35.736000,117.850000
78,G000237005002620260,蒙阴西虚-蒙阴西收费门架,35.736000,117.850000
79,G000237005002710270,临沂枣园-临沂枣园虚收费门架,35.210000,118.252000
80,G000237005002820280,临沂枣园虚-临沂枣园收费门架,35.210000,118.252000
81,G000237005002910290,博莱枢纽-蒙阴西虚收费门架,35.746000,117.824000
82,G000237005003020300,蒙阴西虚-博莱枢纽收费门架,35.746000,117.825000
83,G000237005003110310,蒙阴西虚-蒙阴虚收费门架,35.698000,117.908000
84,G000237005003220320,蒙阴虚-蒙阴西虚收费门架,35.696000,117.910000
85,G000237005003310330,临沂北虚-临沂枣园虚收费门架,35.254000,118.252000
86,G000237005003420340,临沂枣园虚-临沂北虚收费门架,35.254000,118.251000
87,G000237005003510350,临沂枣园虚-临沂虚收费门架,35.188000,118.244000
88,G000237005003620360,临沂虚-临沂枣园虚收费门架,35.187000,118.244000
89,G000237006000210020,临沂南-临枣京沪枢纽虚门架,34.995238,118.205570
90,G000237006000310030,临枣京沪枢纽-兰陵虚门架,34.880221,118.201732
91,G000237006000410040,兰陵-郯城虚门架,34.842051,118.206972
92,G000237006000710060,红花埠-京沪鲁苏门架,34.434916,118.358720
93,G000237006000710070,红花埠-京沪鲁苏门架,34.432820,118.363424
94,G000237006000710210,红花埠-京沪鲁苏门架,34.433453,118.356543
95,G000237006000710220,红花埠-京沪鲁苏门架,34.430230,118.365660
96,G000237006000820080,京沪鲁苏-红花埠门架,34.429614,118.370680
97,G000237006000820090,京沪鲁苏-红花埠门架,34.431950,118.365726
98,G000237006000820230,京沪鲁苏-红花埠门架,34.455353,118.343243
99,G000237006000820240,京沪鲁苏-红花埠门架,34.430230,118.365660
100,G000237006001120110,郯城-兰陵虚门架,34.841691,118.208058
101,G000237006001220120,兰陵-临枣京沪枢纽虚门架,34.878961,118.205533
102,G000237006001320130,临枣京沪枢纽-临沂南虚门架,34.995058,118.206113
103,G000237006001510150,郯城-郯城虚门架,34.642551,118.240412
104,G000237006001620160,郯城虚-郯城门架,34.642551,118.240412
105,G000237006001710170,红花埠-红花埠虚门架,34.448306,118.330250
106,G000237006001820180,红花埠虚-红花埠门架,34.448306,118.330250
107,G000237006001910190,临沂南-临沂南虚门架,35.029373,118.215319
108,G000237006002020200,临沂南虚-临沂南门架,35.029373,118.215319
109,G000237006002110210,兰陵-兰陵虚门架,34.870243,118.204252
110,G000237006002220220,兰陵虚-兰陵门架,34.870243,118.204252
111,G000237006002310230,临沂商城-临沂商城虚收费门架,35.068000,118.229000
112,G000237006002420240,临沂商城虚-临沂商城收费门架,35.068000,118.229000
113,G000237006002510250,郯城南-郯城南虚收费门架,34.578000,118.261000
114,G000237006002620260,郯城南虚-郯城南收费门架,34.578000,118.261000
115,G000237006002910290,临沂商城虚-临沂南虚收费门架,35.047000,118.220000
116,G000237006003020300,临沂南虚-临沂商城虚收费门架,35.046000,118.219000
117,G000237006003110310,郯城虚-郯城南虚收费门架,34.620000,118.244000
118,G000237006003220320,郯城南虚-郯城虚收费门架,34.620000,118.245000
119,G000237006003310330,郯城南虚-红花埠虚收费门架,34.463000,118.316000
120,G000237006003420340,红花埠虚-郯城南虚收费门架,34.462000,118.316000
121,G000237007000310010,济阳-济阳虚收费门架,36.817590,117.166102
122,G000237007000320010,济阳虚-济阳收费门架,36.817590,117.166102
123,G000237008000120010,唐王枢纽-机场枢纽门架,36.792111,117.247584
124,G000237008000210150,遥墙-机场枢纽门架,36.812733,117.190578
125,G000237008000320030,遥墙-济阳门架,36.817872,117.174033
126,G000237008000420040,济阳-济乐青银立交门架,36.843948,117.104177
127,G000237008000520050,济乐青银立交-靳家门架,36.843563,117.025777
128,G000237008000620060,靳家-表白寺枢纽门架,36.842479,116.984006
129,G000237008000720070,表白寺枢纽-齐河东门架,36.800801,116.874717
130,G000237008000820080,齐河东-池庄枢纽门架,36.786678,116.836290
131,G000237008001110090,池庄枢纽-齐河东门架,36.785500,116.833984
132,G000237008001210100,齐河东-表白寺枢纽门架,36.800131,116.873626
133,G000237008001310110,表白寺枢纽-靳家门架,36.842427,116.982289
134,G000237008001410120,靳家-济乐青银立交门架,36.843227,117.024595
135,G000237008001510130,济乐青银立交-济阳门架,36.843829,117.103031
136,G000237008001610140,济阳-遥墙门架,36.81805765106972,117.17223878827149
137,G000237008001720020,机场枢纽-遥墙门架,36.81178863012991,117.19332177788978
138,G000237008001810160,机场枢纽-唐王枢纽门架,36.792469361609605,117.24531634467239
139,G000237008001910010,表白寺枢纽-齐河北枢纽门架,36.841164,116.932825
140,G000237008002220180,齐河北枢纽-表白寺枢纽门架,36.841030,116.931303
141,G000237008002310010,遥墙-遥墙虚收费门架,36.812359,117.184155
142,G000237008002320010,遥墙虚-遥墙收费门架,36.812359,117.184155
143,G000237008002410010,靳家-靳家虚收费门架,36.842086,116.978467
144,G000237008002420010,靳家虚-靳家收费门架,36.842086,116.978467
145,G000237008002510010,齐河东-齐河东虚收费门架,36.799858,116.868053
146,G000237008002520010,齐河东虚-齐河东收费门架,36.799858,116.868053
147,G000237009000110010,机场-机场枢纽门架,36.834534,117.205331
148,G000237009000210020,机场枢纽-小许家枢纽门架,36.789282,117.203635
149,G000237009000310030,小许家枢纽-郭店门架,36.743237,117.207278
150,G000237009000410040,郭店-济南东门架,36.710350,117.210301
151,G000237009000520050,济南东-郭店门架,36.70964903,117.21036068
152,G000237009000620060,郭店-小许家枢纽门架,36.742528,117.207606
153,G000237009000720070,小许家枢纽-机场枢纽门架,36.788511,117.203997
154,G000237009000820080,机场枢纽-机场门架,36.833898,117.205501
155,G000237009000910010,济南东-济南东虚收费门架,36.659739,117.201567
156,G000237009000920010,济南东虚-济南东收费门架,36.659739,117.201567
157,G000237009001010010,郭店-郭店虚收费门架,36.741796,117.201732
158,G000237009001020010,郭店虚-郭店收费门架,36.741796,117.201732
159,G000237009001110010,机场-机场虚收费门架,36.834274,117.199234
160,G000237009001120010,机场虚-机场收费门架,36.834274,117.199234
161,G000237010000110010,济南东-港沟枢纽门架,36.659794,117.207540
162,G000237010000210020,港沟枢纽-济绕济泰枢纽门架,36.58787094,117.15471945
